A	-1.525735	1.67408	
A	6.069158	5.152899	
A	-4.146633	1.081567	
A	-4.994697	2.974933	
A	-0.837513	-1.655131	
A	4.993868	5.231333	
A	5.337295	3.65081	
A	-4.070525	2.024777	
A	4.220618	3.88215	
A	-2.737036	-4.872351	
A	5.273966	0.495565	
A	5.056881	1.194808	
A	-4.684017	1.104975	
A	3.630935	1.433834	
A	-2.185886	-2.081777	
A	-3.365111	-0.169107	
A	-4.325179	3.413589	
A	1.940409	5.095783	
A	5.048443	3.949618	
A	4.271519	-1.104565	
A	4.962547	-0.460126	
A	6.809371	-0.450855	
A	5.69157	-2.421567	
A	4.446387	1.692774	
A	-2.935608	-4.647931	
A	3.971036	6.391197	
A	5.705124	1.563905	
A	3.526251	5.125679	
A	-1.482916	-2.278128	
A	-3.713925	0.646251	
A	-2.757847	-0.008073	
A	3.672294	0.054856	
A	-0.968404	-1.352061	
A	-2.643946	-1.087158	
A	6.352239	-2.638754	
A	-1.726299	2.018557	
A	-1.921184	-0.399836	
A	-1.663443	-0.958986	
A	-3.174283	-2.524343	
A	2.57272	3.309498	
A	3.652733	5.615746	
A	6.116004	3.861596	
A	-3.256511	2.093999	
A	8.057396	-2.227708	
A	-3.291349	-0.392001	
A	-2.873908	-0.797512	
A	6.017664	4.99393	
A	4.82832	3.958851	
A	4.427478	6.94144	
A	-2.042019	-4.838531	
A	4.431985	4.190834	
A	-1.293406	-4.050642	
A	5.13705	5.745644	
A	4.481172	-1.015818	
A	-5.34393	2.38509	
A	-0.371486	-2.263986	
A	6.563596	-0.740561	
A	-2.361829	0.127551	
A	-2.794272	-1.043894	
A	-1.694308	0.816211	
A	-4.782809	2.65008	
A	-3.527407	-4.757469	
A	5.404914	-1.154843	
A	-1.974044	0.767279	
A	4.390848	2.057476	
A	2.351391	3.787505	
A	-5.159769	4.461072	
A	-4.231043	0.41665	
A	4.123282	6.10074	
A	4.298416	0.653153	
A	-3.051873	2.517304	
A	2.152186	5.638664	
A	-4.040448	1.921556	
A	7.0819	1.354236	
A	5.5061	1.427325	
A	-4.115778	4.622738	
A	4.260783	6.272074	
A	4.641614	3.785443	
A	-2.95804	3.775665	
A	-3.041649	-3.171339	
A	6.046129	0.997202	
A	6.22963	-2.849405	
A	6.03722	2.214485	
A	5.388342	6.290064	
A	-3.466219	0.040091	
A	-1.974758	-0.323457	
A	-5.708847	2.465111	
A	-1.746017	-1.379488	
A	2.667056	4.755727	
A	4.751338	-2.450105	
A	6.232137	2.257412	
A	4.633483	4.528087	
A	-1.743096	-0.899578	
A	4.375898	0.005549	
A	-5.048593	1.786572	
A	4.887608	5.029907	
A	5.764373	-2.867734	
A	2.947215	2.144312	
A	-2.109552	3.06637	
A	-0.896231	-3.381622	
A	-5.163064	0.417968	
A	7.372124	0.741365	
A	-3.635488	1.90337	
A	-2.809615	0.006269	
A	-3.937318	-3.528527	
A	-2.635674	3.088936	
A	-1.682247	-2.868899	
A	7.109769	1.596423	
A	-2.819221	-1.033951	
A	-1.619993	-0.074248	
A	7.417405	-2.056156	
A	3.795895	5.064028	
A	7.286613	1.01088	
A	-0.703406	-3.109021	
A	-4.407078	2.553068	
A	2.45441	5.879732	
A	4.876237	5.434384	
A	4.518562	5.435643	
A	6.393914	-1.134246	
A	3.185336	1.661398	
A	-4.155146	4.349217	
A	5.603468	0.338985	
A	6.096733	0.740371	
A	-4.665949	3.347262	
A	4.244135	4.74935	
A	-1.301661	-4.008289	
A	2.927757	2.432298	
A	-4.708256	4.249597	
A	-2.976314	0.897763	
A	-1.123345	-4.108904	
A	-3.259222	2.579396	
A	-5.116929	3.885108	
A	-2.6678	-0.124654	
A	4.362369	-0.154163	
A	-4.185295	3.42729	
A	4.763776	1.937362	
A	2.995919	2.730053	
A	-2.65159	1.707797	
A	-2.674659	5.304735	
A	-1.023431	-0.576634	
A	-3.77519	2.44795	
A	7.094106	0.310857	
A	-2.652696	2.58106	
A	3.427968	2.14876	
A	-3.534742	2.035299	
A	2.762111	5.489194	
A	-3.70681	-3.107487	
A	7.371492	-1.279364	
A	-3.084763	0.052047	
A	-4.332115	0.947983	
A	3.044738	1.949959	
A	4.235324	1.687059	
A	-5.029865	0.448834	
A	-3.486646	2.394058	
A	4.615788	4.963066	
A	-2.203948	-2.497436	
A	-1.889969	2.455505	
A	-1.544725	-0.020301	
A	3.534751	0.189173	
A	-2.928085	2.455709	
A	-3.26863	1.733523	
A	-1.597743	-1.521849	
A	5.404041	-0.641941	
A	6.065633	0.923504	
A	-5.622634	1.852369	
A	-0.715237	-2.240776	
A	5.806783	0.446144	
A	5.815685	3.520988	
A	-2.437656	2.362099	
A	6.197437	4.781544	
A	-3.196536	0.534498	
A	5.86825	-0.455914	
A	4.920955	-1.555775	
A	-0.027153	-2.776198	
A	-0.647707	-0.850435	
A	-3.684468	4.679502	
A	-0.362868	-2.01577	
A	6.116325	2.748777	
A	3.509367	2.083454	
A	8.095593	-2.159409	
A	3.937896	3.547373	
A	5.068993	0.151467	
A	6.650006	-1.55233	
A	-4.843269	2.582726	
A	-1.994781	-3.749599	
A	4.686133	3.631399	
A	4.03602	1.55464	
A	2.28097	5.264673	
A	2.285944	4.83671	
A	7.145272	-2.371648	
A	-2.878284	-5.128197	
A	3.102862	5.722919	
A	5.876697	-1.285803	
A	3.55813	6.777624	
A	-4.215902	1.643388	
A	-3.404302	0.559512	
A	-5.984671	4.155566	
A	3.949732	0.127596	
A	-2.23551	-2.05419	
A	4.03126	-1.311888	
B	2.655823	-3.857013	
B	3.423599	-8.694411	
B	1.981555	-3.75556	
B	2.22201	-0.080326	
B	0.653071	-0.586221	
B	1.996388	-0.182519	
B	0.458348	-1.162976	
B	1.580607	-3.108869	
B	3.250131	-7.990834	
B	1.89307	-5.07228	
B	3.118857	-1.992771	
B	2.338217	-4.713485	
B	2.865837	-2.07918	
B	1.100346	-2.525113	
B	3.948247	-6.860932	
B	3.67068	-2.999693	
B	3.78955	-5.736867	
B	1.543322	-3.577698	
B	3.720497	-6.569737	
B	2.548784	0.469227	
B	3.495351	-3.12901	
B	1.868084	-0.914601	
B	2.341	-2.683538	
B	2.610911	-8.341667	
B	2.318302	-2.059946	
B	1.802143	-0.147909	
B	1.11228	-1.0417	
B	1.161436	-2.822209	
B	3.164861	-2.151933	
B	3.581942	-4.693201	
B	2.595505	-2.867581	
B	4.692817	-6.199004	
B	2.41151	-2.752496	
B	5.085033	-8.02375	
B	3.793863	-6.675361	
B	2.532236	-5.631601	
B	0.96318	-0.697804	
B	1.900532	-1.208219	
B	2.203963	-2.903723	
B	2.41403	-2.826789	
B	0.795168	-0.987892	
B	1.337182	-1.800544	
B	2.975409	-2.095552	
B	2.193876	-3.685911	
B	2.556504	-7.025143	
B	2.475615	-6.812525	
B	3.576909	-2.345503	
B	1.316474	0.884	
B	2.642659	-7.168735	
B	2.78481	-1.247884	
B	2.178487	-4.185784	
B	0.535496	-1.377528	
B	2.430261	-4.335087	
B	2.979331	-8.055634	
B	2.833783	-8.008334	
B	2.951878	-6.531133	
B	3.538275	-5.294223	
B	1.0744	-0.536875	
B	-0.056498	-0.045256	
B	1.187687	-4.193392	
B	2.615654	-2.561129	
B	2.569921	-6.670005	
B	3.005438	-5.840231	
B	6.9E-4	0.375764	
B	0.94745	0.317946	
B	2.145996	-0.058391	
B	1.923426	-0.522964	
B	1.860054	-3.882221	
B	2.961105	-6.51912	
B	3.891762	-6.46102	
B	2.979157	-7.719693	
B	3.045017	-2.355009	
B	1.106933	-0.896329	
B	0.777553	-2.179924	
B	2.893701	-4.482598	
B	2.531685	-6.129823	
B	2.569578	-7.049336	
B	2.650848	-2.514143	
B	1.457922	-0.347746	
B	1.653227	-3.293168	
B	3.568414	-2.259118	
B	2.650755	-6.439335	
B	4.036381	-7.659649	
B	0.92586	-1.193429	
B	3.457212	-7.317097	
B	3.661818	-8.555817	
B	3.766848	-4.548682	
B	2.652008	-0.270711	
B	0.991616	0.765194	
B	1.676801	-1.074061	
B	3.853242	-7.835175	
B	3.290961	-4.987063	
B	2.486135	-4.379424	
B	0.47354	0.377888	
B	2.712563	-0.20676	
B	2.659885	-6.596971	
B	1.981703	-1.592463	
B	5.194608	-7.042748	
B	3.617991	-2.546411	
B	3.743379	-3.722065	
B	4.190108	-4.261368	
B	2.742448	-7.147469	
B	3.168338	-6.350605	
B	1.085704	-0.672616	
B	1.80533	-3.5828	
B	3.605567	-7.992278	
B	3.000936	-3.722819	
B	4.361661	-6.480428	
B	0.4749	-1.321806	
B	3.051686	-6.052064	
B	2.83774	-3.903458	
B	2.64884	-5.602662	
B	1.690664	-3.397812	
B	4.314634	-7.873321	
B	0.746098	-1.940629	
B	3.089413	-2.35882	
B	3.171297	-0.768712	
B	3.496533	-5.403425	
B	2.49478	-3.889171	
B	0.66042	-2.544187	
B	3.254535	-6.113568	
B	2.665933	-3.860164	
B	4.35514	-5.418837	
B	2.930234	-5.9125	
B	3.172698	-4.77917	
B	1.559694	-2.766199	
B	2.283144	-3.8485	
B	1.109772	0.192889	
B	3.892693	-7.992471	
B	3.758512	-7.473336	
B	0.155505	0.463196	
B	1.459767	-0.518453	
B	2.221282	-6.43019	
B	1.635453	-3.892925	
B	0.900136	0.150263	
B	4.061385	-3.513084	
B	2.455076	-5.396987	
B	0.107426	-0.614142	
B	5.099144	-8.256101	
B	1.742972	-5.456482	
B	2.376589	-5.378347	
B	1.904708	-2.614585	
B	4.73557	-6.099775	
B	1.893869	-0.89071	
B	2.61161	-0.464869	
B	0.225562	-0.074227	
B	2.962726	-0.838843	
B	1.378083	-1.752296	
B	1.186254	-2.084238	
B	2.591694	-1.130614	
B	2.058545	-3.328179	
B	2.400232	-0.919381	
B	3.761398	-5.957277	
B	0.926526	0.467283	
B	4.301968	-4.596592	
B	2.384414	-6.590799	
B	1.444915	0.54831	
B	1.868428	-4.071651	
B	2.31958	-3.203065	
B	2.697812	-4.27261	
B	0.705457	0.297561	
B	4.971828	-7.763159	
B	4.063865	-3.767157	
B	1.044504	-0.186012	
B	1.99401	-4.943168	
B	2.309887	-1.873066	
B	1.895743	-3.628297	
B	2.828917	-0.393288	
B	3.363679	-5.510055	
B	3.764725	-5.83962	
B	3.065472	-3.023123	
B	2.564924	-7.492405	
B	2.348365	-5.977444	
B	4.745597	-7.20845	
B	2.000396	-5.126252	
B	3.017193	-6.689883	
B	2.880142	-2.492686	
B	3.669312	-6.824598	
B	3.985633	-3.84813	
B	3.185456	-5.426711	
B	1.832438	0.901324	
B	-0.163779	0.012706	
B	2.208618	-4.031647	
B	3.43236	-2.692622	
B	1.540961	-1.973172	
B	3.277139	-1.841279	
B	3.777039	-7.435666	
B	4.136033	-8.55409	
B	1.078755	-3.242905	
B	0.542043	-1.383297	
B	3.142436	-2.858735	
B	1.769763	-2.921609	
B	3.767453	-4.796177	
B	1.414696	-0.384184	
B	2.656724	-6.01257	
B	1.242336	-2.579535	
B	3.086525	-1.986481	
B	0.133127	0.253598	
B	2.430233	-5.353957	
B	3.307525	-6.887782	
